Svid,NoradCatID,ConstellationType,ObservationCount,TLEDistance
1,62339,1,14.0,0.0
2,41549,6,18.0,0.0
3,37867,3,17.0,0.0
3,41860,6,4.0,0.0
3,40294,1,1.0,0.0
4,44850,3,19.0,0.0
4,43873,1,3.0,0.0
5,43508,3,22.0,1.0
5,41862,6,6.0,0.0
6,39741,1,26.0,362.0
6,36828,5,4.0,0.0
6,59600,6,2.0,0.0
7,37256,5,14.0,0.0
7,37868,3,3.0,0.0
7,41859,6,14.0,0.0
8,40730,1,8.0,0.0
8,37384,5,8.0,0.0
8,41175,6,18.0,0.0
9,41174,6,14.0,0.0
9,40105,1,24.0,0.0
9,40315,3,25.0,0.0
9,37763,5,9.0,0.0
10,49810,6,6.0,0.0
10,37948,5,9.0,0.0
11,38250,5,23.0,0.0
11,46805,3,8.0,0.0
11,48859,1,32.0,0.0
11,37846,6,1.0,0.0
12,44299,3,14.0,0.0
12,38251,5,12.0,0.0
13,43567,6,11.0,0.0
13,41434,5,20.0,0.0
14,38775,5,9.0,0.0
14,46826,1,25.0,0.0
15,43564,6,12.0,1.0
16,61182,6,2.0,0.0
16,54377,3,17.0,0.0
16,43539,5,12.0,0.0
17,41330,3,3.0,0.0
18,39620,3,15.0,0.0
20,43002,5,1.0,0.0
21,40001,3,6.0,0.0
21,43055,6,8.0,0.0
21,43208,5,15.0,0.0
22,43207,5,10.0,0.0
23,36402,3,4.0,0.0
23,43581,5,33.0,0.0
23,61183,6,7.0,0.0
24,43582,5,15.0,0.0
24,45358,3,10.0,0.0
24,40889,6,1.0,0.0
25,43056,6,13.0,1.0
25,43603,5,29.0,0.0
25,36585,1,1.0,0.0
26,43602,5,10.0,0.0
26,40534,1,1.0,0.0
26,40544,6,9.0,1.0
27,43107,5,6.0,0.0
27,39166,1,2.0,0.0
27,43057,6,7.0,0.0
28,43108,5,24.0,0.0
29,59598,6,5.0,0.0
30,39533,1,11.0,0.0
30,40890,6,24.0,0.0
32,43622,5,1.0,0.0
33,43565,6,3.0,0.0
33,43623,5,18.0,0.0
34,49809,6,20.0,0.0
34,43648,5,19.0,4.0
35,43647,5,1.0,0.0
36,43566,6,19.0,1.0
37,43707,5,16.0,0.0
38,44204,5,12.0,0.0
40,44709,5,37.0,2.0
41,44864,5,20.0,0.0
42,44865,5,6.0,0.0
43,44794,5,33.0,0.0
44,44793,5,14.0,0.0
194,42738,4,40.0,0.0
195,42965,4,36.0,0.0
196,49336,4,19.0,0.0
199,42917,4,2.0,0.0
